index,title,zipCode,neighborhood,councilDistrict,policeDistrict,Location
233,CLASSIC CAFE EXPRESS,21201,Mid-Town Belvedere,12,CENTRAL,"1515 CHARLES ST
Baltimore, MD"
234,CLAYTON FINE BOOKS & CAF?�,21201,Downtown,11,CENTRAL,"317 CHARLES ST
Baltimore, MD"
235,CLIFTON PARK GOLF COURSE SNACK BAR,21213,Darley Park,14,NORTHEASTERN,"2701 ST LO DR
Baltimore, MD"
236,CLIPPER MILL INN,21211,Hampden,7,NORTHERN,"1619 UNION AVE
Baltimore, MD"
237,CLUB 1722,21201,Charles North,12,CENTRAL,"1722 CHARLES ST
Baltimore, MD"
238,CLUB BAR,21217,Sandtown-Winchester,7,WESTERN,"1609 LAURENS ST
Baltimore, MD"
239,CLUB BUNNS (606-08),21201,Seton Hill,11,CENTRAL,"606 LEXINGTON ST
Baltimore, MD"
240,club charles zodiac     (1724-1726 n. charles st),21201,Charles North,12,CENTRAL,"1724 CHARLES ST
Baltimore, MD"
241,CLUB CHOICES,21201,Charles North,12,CENTRAL,"1817 CHARLES ST
Baltimore, MD"
242,CLUB CLIMAX,21223,Shipley Hill,9,SOUTHWESTERN,"2432 BALTIMORE ST
Baltimore, MD"
243,CLUB CONFETTI,21231,Fells Point,1,SOUTHEASTERN,"1609 BANK ST
Baltimore, MD"
244,CLUB HAREM,21202,Downtown,11,CENTRAL,"425 BALTIMORE ST
Baltimore, MD"
245,CLUB HOUSE BAR & GRILL,21213,Orangeville Industrial Area,13,EASTERN,"4217 ERDMAN AVE
Baltimore, MD"
246,CLUB HUSH,21223,Carrollton Ridge,9,SOUTHERN,"1930 LOMBARD ST
Baltimore, MD"
247,CLUB INTERNATIONAL,21223,Shipley Hill,9,SOUTHWESTERN,"2301 BALTIMORE ST
Baltimore, MD"
248,CLUB LUZERENE,21205,McElderry Park,13,SOUTHEASTERN,"542 LUZERNE AVE
Baltimore, MD"
249,CLUB MATE,21225,Brooklyn,10,SOUTHERN,"3610 HANOVER ST
Baltimore, MD"
250,CLUB MIAMI,21202,Downtown,11,CENTRAL,"414 BALTIMORE ST
Baltimore, MD"
251,CLUB MITCHELL,21202,Jonestown,12,SOUTHEASTERN,"1003 PRATT ST
Baltimore, MD"
252,CLUB OKAPI,21223,Carrollton Ridge,9,SOUTHWESTERN,"2219 PRATT ST
Baltimore, MD"
253,CLUB ONE,21202,Downtown,11,CENTRAL,"300 SARATOGA ST
Baltimore, MD"
254,CLUB PHOENIX,21201,Mid-Town Belvedere,11,CENTRAL,"1 BIDDLE ST
Baltimore, MD"
255,CLUB PUSSYCAT,21202,Downtown,11,CENTRAL,"411 BALTIMORE ST
Baltimore, MD"
256,CLUB RIO & TOUCH OF CLASS,21216,Winchester,9,SOUTHWESTERN,"1315 Bloomingdale Dr
Baltimore, MD"
257,CLUBHOUSE BAR,21223,Carrollton Ridge,9,SOUTHERN,"1812 PRATT ST
Baltimore, MD"
258,CLUBHOUSE BAR & GRILL,21213,Orangeville Industrial Area,13,EASTERN,"4217 ERDMAN AVE
Baltimore, MD"
259,COACH HOUSE INN,21206,Cedmont,2,NORTHEASTERN,"6605 BELAIR RD
Baltimore, MD"
260,COCKY LOU'S,21213,Broadway East,12,EASTERN,"2101 NORTH AVE
Baltimore, MD"
261,COCO MOKA CAF?�,21230,Riverside,10,SOUTHERN,"921 FORT AVE
Baltimore, MD"
262,COCONUT CAF?�,21201,Mount Vernon,11,CENTRAL,"311 MADISON ST
Baltimore, MD"
263,COFFEE LAND,21201,Downtown,11,CENTRAL,"222 CHARLES ST
Baltimore, MD"
264,COLD STONE CREAMERY #1479,21225,Canton,1,SOUTHEASTERN,"2500 BOSTON ST
Baltimore, MD"
265,COLD STONE CREAMERY# 102,21224,Canton,1,SOUTHEASTERN,"2500 BOSTON ST
Baltimore, MD"
266,COLLINS CORNER,21230,Westport,10,SOUTHERN,"2231 CEDLEY ST
Baltimore, MD"
267,COLONIAL INN,21224,Fells Point,1,SOUTHEASTERN,"2001 EASTERN AVE
Baltimore, MD"
268,COMMON GROUND,21211,Hampden,14,NORTHERN,"819 36TH ST
Baltimore, MD"
269,COOKIE'S  CITY  LINE  DINER,21226,Hawkins Point,10,SOUTHERN,"6407 FORT SMALLWOOD RD
Baltimore, MD"
270,COOPER'S LIQUOR (568-570),21202,Oldtown,12,EASTERN,"568 OLD TOWN MALL
Baltimore, MD"
271,COPRA,21201,Downtown,11,CENTRAL,"313 CHARLES ST
Baltimore, MD"
272,CORKS,21230,Federal Hill,10,SOUTHERN,"1026 CHARLES ST
Baltimore, MD"
273,CORKY'S GRILL,21211,Remington,7,NORTHERN,"225 23RD ST
Baltimore, MD"
274,CORRADO'S CAF?�,21208,Downtown,11,CENTRAL,"203 REDWOOD ST
Baltimore, MD"
275,"COSI, INC. # 157",21202,Inner Harbor,11,CENTRAL,"100 CHARLES ST
Baltimore, MD"
276,COSMOPOLITAN BAR & GRILL,21224,Canton,1,SOUTHEASTERN,"2933 O DONNELL ST
Baltimore, MD"
277,COSMOS RESTAURANT-CARRYOUT (5427-29),21214,Harford-Echodale/Perring Parkway,3,NORTHEASTERN,"5427 HARFORD RD
Baltimore, MD"
278,COTTON CLUB,21217,Midtown-Edmondson,9,WESTERN,"2000 HARLEM AVE
Baltimore, MD"
279,courthouse east caf�??',21202,Downtown,11,CENTRAL,"111 calvert st
Baltimore, MD"
280,COURTYARD BY MARRIOTT & COURTYARD CAFE & LOUNGE,21202,Inner Harbor,1,SOUTHEASTERN,"1000 ALICEANNA ST
Baltimore, MD"
281,crazy johns,21202,Downtown,11,CENTRAL,"410 BALTIMORE ST
Baltimore, MD"
282,CRAZY LIL'S,21230,Federal Hill,10,SOUTHERN,"27 CROSS ST
Baltimore, MD"
283,CREATIVE ALLIANCE,21224,Canton,1,SOUTHEASTERN,"3134 EASTERN AVE
Baltimore, MD"
284,CREPE DU JOUR,21209,Mount Washington,5,NORTHERN,"1609 SULGRAVE AVE
Baltimore, MD"
285,CROSSROADS SPORTS PUB & GRILL,21224,Canton,1,SOUTHEASTERN,"3328 FOSTER AVE
Baltimore, MD"
286,CURB SHOPPE,21209,North Roland Park/Poplar Hill,5,NORTHERN,"5736 FALLS RD
Baltimore, MD"
287,CURLEY ST.  CAF?�,21224,Canton,1,SOUTHEASTERN,"701 CURLEY ST
Baltimore, MD"
288,CURTIS BAY ATHLETIC CLUB,21226,Curtis Bay,10,SOUTHERN,"1603 CEDDOX ST
Baltimore, MD"
289,D J'S GASLIGHT,21226,Curtis Bay,10,SOUTHERN,"4900 CURTIS AVE
Baltimore, MD"
290,DAILY  GRIND  COFFEE  HOUSE,21205,Middle East,12,EASTERN,"720 RUTLAND AVE
Baltimore, MD"
291,DAILY GRIND,21224,Canton,1,SOUTHEASTERN,"1030 LINWOOD AVE
Baltimore, MD"
292,DAILY GRIND,21205,Dunbar-Broadway,13,EASTERN,"610 WASHINGTON ST
Baltimore, MD"
293,dalesio's of little italy llc,21202,Little Italy,1,SOUTHEASTERN,"829 EASTERN AVE
Baltimore, MD"
294,DANCING PIGS,21230,Washington Village,10,SOUTHERN,"1140 PACA ST
Baltimore, MD"
295,DANNY'S LOUNGE,21215,Towanda-Grantley,6,NORTHWESTERN,"4316 REISTERSTOWN RD
Baltimore, MD"
296,DARBY'S,21230,Morrell Park,10,SOUTHWESTERN,"2351 WASHINGTON BLVD
Baltimore, MD"
297,DARKER THAN BLUE,21218,Better Waverly,14,NORTHERN,"3034 GREENMOUNT AVE
Baltimore, MD"
298,DASH SEAFOOD & CHICKEN,21215,Central Park Heights,6,NORTHWESTERN,"5124 PARK HEIGHTS AVE
Baltimore, MD"
299,DAVEY JONES LOCKER,21224,Brewers Hill,1,SOUTHEASTERN,"800 DEAN ST
Baltimore, MD"
300,DAVID & DAD'S LLC,21201,Downtown,11,CENTRAL,"334 CHARLES ST
Baltimore, MD"
301,DAVID'S RESTAURANT & DELI,21211,Hampden,7,NORTHERN,"3626-A FALLS RD
Baltimore, MD"
302,DAYS INNS MANAGEMENT CO,21201,Inner Harbor,11,CENTRAL,"100 HOPKINS PLZ
Baltimore, MD"
303,DEAD END SALOON,21231,Fells Point,1,SOUTHEASTERN,"935 FELL ST
Baltimore, MD"
304,DEAD FREDDIES,21234,North Harford Road,3,NORTHEASTERN,"7209 HARFORD RD
Baltimore, MD"
305,DECADES SPORTS BAR,21226,Curtis Bay,10,SOUTHERN,"4221 CURTIS AVE
Baltimore, MD"
306,DECKERS BAR & GRILLE,21230,Locust Point,10,SOUTHERN,"1401 DECATUR ST
Baltimore, MD"
307,DEEP SIDE RESTAURANT & CAF?�,21224,Baltimore-Linwood,1,SOUTHEASTERN,"123 CLINTON ST
Baltimore, MD"
308,DEGO DAME'S,21202,Little Italy,1,SOUTHEASTERN,"1018 EASTERN AVE
Baltimore, MD"
309,DELLA ROSE'S 2 CANTON CROSSING,21224,Canton Industrial Area,1,SOUTHEASTERN,"1501 CLINTON ST
Baltimore, MD"
310,DESERT CAFE'(1605-07),21209,Mount Washington,5,NORTHERN,"1607 SULGRAVE AVE
Baltimore, MD"
311,DESERT INN,21217,Midtown-Edmondson,9,WESTERN,"1901 HARLEM AVE
Baltimore, MD"
312,DIAMOND LOUNGE   (415 1/2 E. BALTIMORE STREET),21202,Downtown,11,CENTRAL,"415 BALTIMORE ST
Baltimore, MD"
313,DIANNE'S RESTAURANT LOUNGE,21205,Middle East,13,EASTERN,"709 711 N CHESTER ST
Baltimore, MD"
314,DILONE GROCERY & RESTAURANT,21224,Baltimore-Linwood,1,SOUTHEASTERN,"157 LAKEWOOD AVE
Baltimore, MD"
315,"DIMIS CAF?� AND GRILL, INC.",21210,Roland Park,6,NORTHERN,"500 COLDSPRING LN
Baltimore, MD"
316,DIMITRI'S TAVERN,21211,Hampden,7,NORTHERN,"3820 FALLS RD
Baltimore, MD"
317,DING HOW RESTAURANT,21231,Fells Point,1,SOUTHEASTERN,"631 BROADWAY
Baltimore, MD"
318,DIONYSUS RESTAURANT & LOUNGE,21202,Mid-Town Belvedere,12,CENTRAL,"8 PRESTON ST
Baltimore, MD"
319,DIZZY  IZZY,21211,Remington,14,NORTHERN,"300 30TH ST
Baltimore, MD"
320,DOMINICANO INTERNACIONAL,21224,Brewers Hill,1,SOUTHEASTERN,"601 CONKLING ST
Baltimore, MD"
321,DOMINO SUGAR CAFATERIA OPERATION # 65227,21230,Riverside,10,SOUTHERN,"1100 KEY HWY
Baltimore, MD"
322,DONNA'S,21201,Inner Harbor,11,SOUTHERN,"110 PACA ST
Baltimore, MD"
323,DONNA'S,21222,Holabird Industrial Park,1,SOUTHEASTERN,"6607 PINE AVE
Baltimore, MD"
324,DONNA'S,21201,Mount Vernon,11,CENTRAL,"800 CHARLES ST
Baltimore, MD"
325,"DONNA'S CHARLES VILLAGE, LLC",21218,Charles Village,14,NORTHERN,"3101 ST PAUL ST
Baltimore, MD"
326,DONNA'S CROSS KEYS,21210,Cross Keys,6,NORTHERN,"5100 FALLS RD
Baltimore, MD"
327,DONRITZ BAR & GRILL,21223,Franklin Square,9,WESTERN,"1508 SARATOGA ST
Baltimore, MD"
328,DOUGHERTY'S,21201,Mid-Town Belvedere,11,CENTRAL,"223 CHASE ST
Baltimore, MD"
329,DOWN THE HATCH,21230,Locust Point,10,SOUTHERN,"1157 HAUBERT ST
Baltimore, MD"
330,DOWNTOWN SPORTS EXCHANGE,21201,Inner Harbor,11,CENTRAL,"200 PRATT ST
Baltimore, MD"
331,"DREAM TAVERN, CARRIBEAN  U.S.A.",21213,Broadway East,13,EASTERN,"2300 LAFAYETTE AVE
Baltimore, MD"
332,DREAMS INN,21225,Brooklyn,10,SOUTHERN,"527 PATAPSCO AVE
Baltimore, MD"
333,DRIFTERS RAW BAR & GRILL,21230,Federal Hill,10,SOUTHERN,"1024 CHARLES ST
Baltimore, MD"
334,DUCK'S BLACK SATIN LOUNGE,21215,Central Park Heights,6,NORTHWESTERN,"4559 REISTERSTOWN RD
Baltimore, MD"
335,DUCKY PLEASURE CLUB,21224,Canton,1,SOUTHEASTERN,"900 CLINTON ST
Baltimore, MD"
336,DUCLAW BREWING COMPANY,21231,Gay Street,12,EASTERN,"901 BOND ST
Baltimore, MD"
337,DUDA'S TAVERN,21231,Fells Point,1,SOUTHEASTERN,"1600 THAMES ST
Baltimore, MD"
338,DUKEM ETHIOPIAN RESTAURANT,21201,Mid-Town Belvedere,11,CENTRAL,"1100 MARYLAND AVE
Baltimore, MD"
339,DUNKIN DONUTS,21211,Hampden,14,NORTHERN,"1020 41ST ST
Baltimore, MD"
340,Dunkin Donuts,21224,Orangeville,2,SOUTHEASTERN,"4022 pulaski hwy
Baltimore, MD"
341,DUNKIN DONUTS,21209,Cross Keys,6,NORTHERN,"4535 FALLS RD
Baltimore, MD"
342,DUNKIN DONUTS,21212,Homeland,4,NORTHERN,"5422 YORK RD
Baltimore, MD"
343,DUNKIN DONUTS,21215,Fallstaff,5,NORTHWESTERN,"7000 REISTERSTOWN RD
Baltimore, MD"
344,DUNKIN DONUTS & BASKIN ROBBINS,21214,Harford-Echodale/Perring Parkway,3,NORTHEASTERN,"5401 HARFORD RD
Baltimore, MD"
345,DUNKIN DONUTS/BASKIN ROBBINS,21224,Canton Industrial Area,1,SOUTHEASTERN,"3600 BOSTON ST
Baltimore, MD"
346,DUTCH POT CAF?�,21201,Downtown,11,CENTRAL,"102 CLAY ST
Baltimore, MD"
347,DYNASTY,21202,Downtown,11,CENTRAL,"406 BALTIMORE ST
Baltimore, MD"
348,E C CAF?� & CATERING,21224,Hopkins Bayview,2,SOUTHEASTERN,"5501 HOPKINS BAYVIEW CIR
Baltimore, MD"
349,EAGLE NEST,21226,Curtis Bay,10,SOUTHERN,"4800 CURTIS AVE
Baltimore, MD"
350,EAST BALTIMORE ENTERPRISE,21202,Jonestown,12,SOUTHEASTERN,"239 GAY ST
Baltimore, MD"
351,EASTERN HOUSE RESTAURANT,21224,Highlandtown,2,SOUTHEASTERN,"3706 EASTERN AVE
Baltimore, MD"
352,EASTSIDE  SPORTS  SOCIAL  CLUB,21213,Broadway East,13,EASTERN,"1203 COLLINGTON AVE
Baltimore, MD"
353,EAT MUST BE FIRST,21201,Seton Hill,11,CENTRAL,"600 lexington st
Baltimore, MD"
354,ECLECTIC CAF?�,21231,Fells Point,1,SOUTHEASTERN,"723 BROADWAY
Baltimore, MD"
355,edelweiss bakery & caf�??',21214,Westfield,3,NORTHEASTERN,"6000 harford rd
Baltimore, MD"
356,EDENS LOUNGE,21202,Mid-Town Belvedere,11,CENTRAL,"15 EAGER ST
Baltimore, MD"
357,"EDGAR'S INC.--BALTIMORE, MD",21202,Inner Harbor,11,CENTRAL,"1 PRATT ST
Baltimore, MD"
358,EDIE'S DELI & GRILL,21201,Inner Harbor,11,CENTRAL,"250 PRATT ST
Baltimore, MD"
359,EDISON   LOUNGE,21205,Ellwood Park/Monument,13,EASTERN,"3133 MONUMENT ST
Baltimore, MD"
360,EDO SUSHI,21202,Inner Harbor,11,CENTRAL,"201 PRATT ST
Baltimore, MD"
361,EICHENKRANZ RESTAURANT,21224,Brewers Hill,1,SOUTHEASTERN,"611 FAGLEY ST
Baltimore, MD"
362,EL OSASIS RESTAURANT & DISCOTEC,21224,Brewers Hill,1,SOUTHEASTERN,"3919 EASTERN AVE
Baltimore, MD"
363,EL RANCHO BLANCO,21224,Baltimore Highlands,2,SOUTHEASTERN,"100 FAGLEY ST
Baltimore, MD"
364,EL RANCHO GRANDE,21211,Hampden,7,NORTHERN,"3608 FALLS RD
Baltimore, MD"
365,"EL RECODO, INC.",21231,Fells Point,1,SOUTHEASTERN,"219 BROADWAY
Baltimore, MD"
366,EL RINCONCITO PERUANO,21231,Washington Hill,1,SOUTHEASTERN,"1801 LOMBARD ST
Baltimore, MD"
367,EL TORITO MEXICAN RESTAURANT,21201,Downtown,11,CENTRAL,"110 MULBERRY ST
Baltimore, MD"
368,EL TROPICAL RESTAURANT (3736-38),21224,Baltimore Highlands,2,SOUTHEASTERN,"3736 LOMBARD ST
Baltimore, MD"
369,ELDORADO INC.,21224,Kresson,2,SOUTHEASTERN,"4100 LOMBARD ST
Baltimore, MD"
370,ELKS I.B.P.O.E.OF W.,21202,Johnston Square,12,EASTERN,"1127 GREENMOUNT AVE
Baltimore, MD"
371,ELLIOT'S POUR HOUSE,21224,Brewers Hill,1,SOUTHEASTERN,"3728 HUDSON ST
Baltimore, MD"
372,EL-MOLINO,21224,Baltimore-Linwood,1,SOUTHEASTERN,"3230 FAIRMOUNT ST
Baltimore, MD"
373,ELVIS RESTAURANT,21230,Federal Hill,10,SOUTHERN,"1022 LIGHT ST
Baltimore, MD"
374,ENRICO'S SPORTS CAFE,21224,Highlandtown,2,SOUTHEASTERN,"200 HAVEN ST
Baltimore, MD"
375,ESPN  ZONE,21202,Inner Harbor,11,CENTRAL,"601 PRATT ST
Baltimore, MD"
376,europe restaurant & catering,21215,Reisterstown Station,5,NORTHWESTERN,"4147 labyrinth rd
Baltimore, MD"
377,EVERYDAY'S LLC,21218,Coldstream Homestead Montebello,14,NORTHEASTERN,"1600 ABBOTTSON ST
Baltimore, MD"
378,EXCLUSIVE,21202,Mid-Town Belvedere,12,CENTRAL,"1 CHASE ST
Baltimore, MD"
379,family diner,21226,Fairfield Area,10,SOUTHERN,"3117 VERA ST
Baltimore, MD"
380,FAMOUS RESTAURANT,21218,Charles North,12,NORTHERN,"2101 MARYLAND AVE
Baltimore, MD"
381,FANTASIES,21226,Curtis Bay,10,SOUTHERN,"5520 PENNINGTON AVE
Baltimore, MD"
382,FANTASY CAF?�,21224,Holabird Industrial Park,1,SOUTHEASTERN,"6640 HOLABIRD AVE
Baltimore, MD"
383,FEDERAL HILL LOUNGE,21230,Federal Hill,10,SOUTHERN,"23 CROSS ST
Baltimore, MD"
384,FELL'S POINT CARRYOUT,21231,Fells Point,1,SOUTHEASTERN,"1635 FLEET ST
Baltimore, MD"
385,FIELDER'S TAVERN,21230,Washington Village,9,SOUTHERN,"1184 NANTICOKE ST
Baltimore, MD"
386,FIELDS OLD TRAIL,21212,Mid-Govans,4,NORTHERN,"5723 YORK RD
Baltimore, MD"
387,FIELDS RIB HOUSE,21216,Central Forest Park,6,NORTHWESTERN,"3308 GARRISON BLVD
Baltimore, MD"
388,FILLIN' STATION,21230,Morrell Park,10,SOUTHWESTERN,"2501 WASHINGTON BLVD
Baltimore, MD"
389,FIRESIDE NORTH LIQUORS,21216,Coppin Heights/Ash-Co-East,7,WESTERN,"2201 NORTH AVE
Baltimore, MD"
390,FISHERMANS WHARF INNER HARBOR,21202,Inner Harbor,1,SOUTHEASTERN,"219 PRESIDENT ST
Baltimore, MD"
391,FIVE GUYS @ BREWERS HILL,21224,Canton Industrial Area,1,SOUTHEASTERN,"3600 BOSTON ST
Baltimore, MD"
392,FIVE GUYS FAMOUS BURGERS & FRIES,21201,Mount Vernon,11,CENTRAL,"111 CENTRE ST
Baltimore, MD"
393,FIVE GUYS FAMOUS BURGERS & FRIES,21202,Inner Harbor,11,CENTRAL,"201 PRATT ST
Baltimore, MD"
394,FIVE POINT TAVERN,21231,Fells Point,1,SOUTHEASTERN,"1800 THAMES ST
Baltimore, MD"
395,FIVE SEASONS,21202,Mount Vernon,11,CENTRAL,"830 GUILFORD AVE
Baltimore, MD"
396,FLAMERS BURGER & CHICKEN,21205,Dunbar-Broadway,12,EASTERN,"601 CAROLINE ST
Baltimore, MD"
397,FLAMINGO  LOUNGE,21202,Downtown,11,CENTRAL,"403 BALTIMORE ST
Baltimore, MD"
398,Fleming's Prime Steakhouse and Wine Bar,21202,Inner Harbor,1,SOUTHEASTERN,"720 Aliceanna st
Baltimore, MD"
399,FLETCHERS,21231,Fells Point,1,SOUTHEASTERN,"701 BOND ST
Baltimore, MD"
400,FLIP'S AT CLIPPER MILL,21211,Hampden,7,NORTHERN,"1601 UNION AVE
Baltimore, MD"
401,FOGO DE CHAO,21202,Inner Harbor,11,CENTRAL,"600 PRATT ST
Baltimore, MD"
402,FOODTOPIA,21202,Downtown,11,CENTRAL,"17 BALTIMORE ST
Baltimore, MD"
403,FORT CHARLES PUB,21230,SBIC,10,SOUTHERN,"1439 CHARLES ST
Baltimore, MD"
404,FOUL BALL BAR,21230,Washington Village,10,SOUTHERN,"839 CROSS ST
Baltimore, MD"
405,FOUR G'S LIQUOR & LOUNGE,21207,Howard Park,5,NORTHWESTERN,"4701 3 LIBERTY HEIGHTS AVE
Baltimore, MD"
406,FOXY LADY,21202,Downtown,11,CENTRAL,"16 CUSTOM HOUSE AVE
Baltimore, MD"
407,FRANKLINTOWN INN,21207,Franklintown,8,SOUTHWESTERN,"5200 FRANKLINTOWN RD
Baltimore, MD"
408,FRANK'S PIZZA,21206,Rosemont East,2,NORTHEASTERN,"6620 BELAIR RD
Baltimore, MD"
409,fraternal order of police baltimore city lodge #3,21211,Hampden,7,NORTHERN,"3920 buena vista ave
Baltimore, MD"
410,FRAZIER'S ON THE AVENUE,21211,Hampden,14,NORTHERN,"919 36TH ST
Baltimore, MD"
411,FRED & MARGIE'S INN,21226,Curtis Bay,10,SOUTHERN,"3605 FAIRHAVEN AVE
Baltimore, MD"
412,FREDERICK STATION SALOON,21229,Irvington,8,SOUTHWESTERN,"4019 FREDERICK AVE
Baltimore, MD"
413,FRIENDLY  FRIED  CHICKEN,21218,Abell,14,NORTHERN,"3221 GREENMOUNT AVE
Baltimore, MD"
414,FRIEND'S RESTAURANT AND SPIRITS,21231,Fells Point,1,SOUTHEASTERN,"1634 ALICEANNA ST
Baltimore, MD"
415,FULL MOON SALOON,21231,Fells Point,1,SOUTHEASTERN,"1710 ALICEANNA ST
Baltimore, MD"
416,FULTON RESTAURANT,21217,Penn North,7,WESTERN,"2733 PENNSLYVANIA AVE
Baltimore, MD"
417,FULTON RESTAURANT    (2201 1/2 FULTON AVENUE),21217,Penn North,7,WESTERN,"2201 FULTON Ave
Baltimore, MD"
418,G & A RESTAURANT,21224,Brewers Hill,1,SOUTHEASTERN,"3802 EASTERN AVE
Baltimore, MD"
419,GAFFNEY'S BACK FIN ( seasonal),21224,Highlandtown,1,SOUTHEASTERN,"415 HIGHLAND AVE
Baltimore, MD"
420,GALLAGHERS BAR & GRILL    (938-940),21224,Brewers Hill,1,SOUTHEASTERN,"938 CONKLING ST
Baltimore, MD"
421,GALLERY,21201,Charles North,12,CENTRAL,"1735 MARYLAND AVE
Baltimore, MD"
422,GALLERY CAF?�,21201,Mount Vernon,11,CENTRAL,"13 CENTRE ST
Baltimore, MD"
423,GARDEN BEEF & BEER,21205,Armistead Gardens,13,EASTERN,"4809 ERDMAN AVE
Baltimore, MD"
424,GARDEN RESTAURANT,21230,Riverside,10,SOUTHERN,"1501 LIGHT ST
Baltimore, MD"
425,GECKOS,21224,Canton,1,SOUTHEASTERN,"2318 FLEET ST
Baltimore, MD"
426,GENJI SUSHI EXPRESS   (A.K.A. 600 S EXETER ST),21202,Inner Harbor,1,SOUTHEASTERN,"1001 FLEET ST
Baltimore, MD"
427,"GEN-JOSEPH HALLER POST #95, AMERICAN LEGION, INC.",21231,Fells Point,1,SOUTHEASTERN,"1746 FLEET ST
Baltimore, MD"
428,GENTLEMEN OF CHARISMA,21205,Middle East,13,EASTERN,"838 CHESTER ST
Baltimore, MD"
429,GEORGE'S CAFETERIA,21222,Dundalk Marine Terminal,1,SOUTHEASTERN,"2700 BROENING HWY
Baltimore, MD"
430,GEORGIO'S,21215,Reisterstown Station,5,NORTHWESTERN,"6322 REISTERSTOWN RD
Baltimore, MD"
431,GERMANIO'S RESTAURANT,21202,Little Italy,1,SOUTHEASTERN,"300 HIGH ST
Baltimore, MD"
432,GIBSON'S,21231,Butcher's Hill,1,SOUTHEASTERN,"32 CHESTER ST
Baltimore, MD"
433,GILMOR PLEASURE CLUB,21223,New Southwest/Mount Clare,9,SOUTHERN,"347 GILMOR ST
Baltimore, MD"
434,GINGER'S,21224,Highlandtown,1,SOUTHEASTERN,"421 CONKLING ST
Baltimore, MD"
435,"GLADIATORS ASSOCIATIONS, INC",21223,Franklin Square,9,WESTERN,"1315 MULBERRY ST
Baltimore, MD"
436,GLASS DOOR lounge,21202,Pleasant View Gardens,12,SOUTHEASTERN,"1263 FAYETTE ST
Baltimore, MD"
437,GOLDEN KEY RESTAURANT,21214,Glenham-Belford,3,NORTHEASTERN,"5512 HARFORD RD
Baltimore, MD"
438,GOLDEN NUGGET,21202,Downtown,11,CENTRAL,"411 BALTIMORE ST
Baltimore, MD"
439,GOLDEN NUGGET LOUNGE,21202,Downtown,11,CENTRAL,"411 1 2 E BALTIMORE ST
Baltimore, MD"
440,"GOLDEN WEST CAF?�, INC.",21211,Hampden,7,NORTHERN,"1105 36TH ST
Baltimore, MD"
441,GOOD TIMES BAR AND LOUNGE,21217,Franklin Square,9,WESTERN,"1600 BALTIMORE ST
Baltimore, MD"
442,GORDON'S,21201,Charles North,12,CENTRAL,"1818 MARYLAND AVE
Baltimore, MD"
443,GOSSIP BISTRO,21202,Downtown,11,CENTRAL,"21 CALVERT ST
Baltimore, MD"
444,GRAND CRU,21212,Chinquapin Park-Belvedere,4,NORTHERN,"527 BELVEDERE AVE
Baltimore, MD"
445,GRANDVIEW RESTAURANT,21215,Hampden,14,NORTHERN,"3838 ROLAND AVE
Baltimore, MD"
446,GRANITE,21224,Canton,1,SOUTHEASTERN,"2903 O DONNELL ST
Baltimore, MD"
447,GRANT'S 2 SPOT,21223,Penrose/Fayette Street Outreach,9,WESTERN,"2 WHEELER AVE
Baltimore, MD"
448,GREAT TASTE CHINESE  RESTAURANT,21229,Saint Agnes,8,SOUTHWESTERN,"3444 WILKENS AVE
Baltimore, MD"
449,GREENE ST CAF?�,21201,Seton Hill,11,CENTRAL,"300 GREENE ST
Baltimore, MD"
450,GREENHOUSE CAF?�,21205,Middle East,13,EASTERN,"725 WOLFE ST
Baltimore, MD"
451,GREENMOUNT LOUNGE,21202,Johnston Square,12,EASTERN,"1318 GREENMOUNT AVE
Baltimore, MD"
452,GRENADIER CLUB,21217,Upton,11,CENTRAL,"1226 MC CULLOH ST
Baltimore, MD"
453,GRIFFITH'S,21211,Hampden,7,NORTHERN,"3631 HICKORY ave
Baltimore, MD"
454,GRILL ART,21211,Hampden,7,NORTHERN,"1011 36TH ST
Baltimore, MD"
455,GRILLE 601,21205,Dunbar-Broadway,12,EASTERN,"601 CAROLINE ST
Baltimore, MD"
456,GROWLERS PUB,21224,Canton,1,SOUTHEASTERN,"600 POTOMAC ST
Baltimore, MD"
457,GROWN FOLKS BAR,21225,Brooklyn,10,SOUTHERN,"3525 HANOVER ST
Baltimore, MD"
458,GRUMPIE'S,21230,Federal Hill,10,SOUTHERN,"25 CROSS ST
Baltimore, MD"
459,GRUNDY'S,21224,Brewers Hill,1,SOUTHEASTERN,"718 GRUNDY ST
Baltimore, MD"
460,"GRUNWALD CLUB, INCORPORATED",21224,Canton,1,SOUTHEASTERN,"2825 O DONNELL ST
Baltimore, MD"
461,JAUNG KAK RESTURANT(aka 18 W.20TH ST),21218,Charles North,12,NORTHERN,"18 20th ST
Baltimore, MD"
462,JAVA JOE'S,21202,Downtown,11,CENTRAL,"8 BALTIMORE ST
Baltimore, MD"
463,"JAY & KAY SUBWAY, INC.",21218,Charles Village,12,NORTHERN,"37 25TH ST
Baltimore, MD"
464,JAY'S ON READ,21201,Mount Vernon,11,CENTRAL,"225 READ ST
Baltimore, MD"
465,JAY'S WOLFE ST CAF?�,21205,Dunbar-Broadway,13,EASTERN,"610 WOLFE ST
Baltimore, MD"
466,JAZZY BLUES CLUB,21231,Upper Fells Point,1,SOUTHEASTERN,"301 ANN ST
Baltimore, MD"
